title,link,description,cap_xet_xu,ap_dung_an_le,loai,dinh_chinh,thong_tin
Bản án:số 292 ngày 20/06/2025 của TAND tỉnh Đồng Nai(13.09.2025),https://congbobanan.toaan.gov.vn/2ta1903349t1cvn/chi-tiet-ban-an,"Ngô Tiến Thành và đồng phạm - phạm tội gây rối trật tự công cộng 
                     (điều 318 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,"Thông tin về vụ án:không chấp nhận kháng cáo của các bị cáo kháng cáo bao gồm: Ngô Tiến Thành, Ngô Ngọc Sơn, Ngô Đức Trung; giữ nguyên bản án sơ thẩm về hình phạt đối với các bị cáo này; sửa 01 phần bản án sơ thẩm về hình phạt đối với bị cáo không kháng cáo Nguyễn Công Ngoan"
Bản án:số 109/2025/HS-ST ngày 28/08/2025 của TAND tỉnh Khánh Hòa(13.09.2025),https://congbobanan.toaan.gov.vn/2ta1903208t1cvn/chi-tiet-ban-an,"Hồ Xuân Cải Cố ý gây thương tích - phạm tội cố ý gây thương tích hoặc gây tổn hại cho sức khỏe của người khác 
                     (điều 134 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:Hồ Xuân Cải Cố ý gây thương tích
Bản án:số 110/2025/HS-PT ngày 28/08/2025 của TAND tỉnh Khánh Hòa(13.09.2025),https://congbobanan.toaan.gov.vn/2ta1903210t1cvn/chi-tiet-ban-an,"Nguyễn NGọc Bảo Trâm vi phạm quy định về tham gia giao thông - phạm tội vi phạm quy định về tham gia giao thông đường bộ 
                     (điều 260 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:Nguyễn NGọc Bảo Trâm vi phạm quy định về tham gia giao thông
Bản án:số 106/HS-ST ngày 26/08/2025 của TAND tỉnh Khánh Hòa(13.09.2025),https://congbobanan.toaan.gov.vn/2ta1903216t1cvn/chi-tiet-ban-an,"Trần Quốc Vương và đồng phạm tổ chức đánh bạc và đánh bạc - phạm tội tổ chức đánh bạc hoặc gá bạc 
                     (điều 322 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:Trần Quốc Vương và đồng phạm tổ chức đánh bạc và đánh bạc
Bản án:số 115/2025/HS-PT ngày 29/08/2025 của TAND tỉnh Khánh Hòa(13.09.2025),https://congbobanan.toaan.gov.vn/2ta1903220t1cvn/chi-tiet-ban-an,"Bùi Gia Thịnh bắt, giữ người trái phái luật - phạm tội bắt, giữ hoặc giam người trái pháp luật 
                     (điều 157 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,"Thông tin về vụ án:Bùi Gia Thịnh bắt, giữ người trái phái luật"
Bản án:số 113/2025/HS-PT ngày 29/08/2025 của TAND tỉnh Khánh Hòa(13.09.2025),https://congbobanan.toaan.gov.vn/2ta1903226t1cvn/chi-tiet-ban-an,"Phùng Thị Mai Ngành cùng đồng phạm tổ chức đánh bạc - phạm tội tổ chức đánh bạc hoặc gá bạc 
                     (điều 322 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:Phùng Thị Mai Ngành cùng đồng phạm tổ chức đánh bạc
Quyết định:số 03 ngày 08/09/2025 của TAND tỉnh Sơn La(13.09.2025),https://congbobanan.toaan.gov.vn/2ta1903196t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Vụ án ly hôn về mâu thuẫn gia đình,Phúc thẩm,Không,Hôn nhân và gia đình,0,"Thông tin về vụ/việc:Đình chỉ xét xử phúc thẩm vụ án hôn nhân và gia đình thụ lý số : 11/2025/TLPT-HNGĐ ngày 16 tháng 7 năm 2025 về việc xin ly hôn, giữa:
1. Nguyên đơn: Chị Vũ Thị T, sinh năm: 1983. Địa chỉ: Bản M, xã M, tỉnh Sơn La.
2. Bị đơn: Anh Bùi Văn H, sinh năm: 1978 Địa chỉ: Bản M, xã M, tỉnh Sơn La."
Bản án:số 290 ngày 30/06/2025 của TAND TP. Hải Phòng(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903158t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Vụ án ly hôn về mâu thuẫn gia đình,Sơ thẩm,Không,Hôn nhân và gia đình,0,Thông tin về vụ/việc:Anh Đỗ Văn Đ xin ly hôn chị Nguyễn Thị L
Bản án:số 289 ngày 30/06/2025 của TAND TP. Hải Phòng(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903172t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Vụ án ly hôn về mâu thuẫn gia đình,Sơ thẩm,Không,Hôn nhân và gia đình,0,Thông tin về vụ/việc:Bà Phạm Thị H xin ly hôn ông Đinh Xuân T
Bản án:số 05 ngày 14/02/2025 của TAND tỉnh Lào Cai(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903165t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng chuyển nhượng quyền sử dụng đất,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:1. Không chấp nhận kháng cáo của nguyên đơn bà Trịnh Thị H và những người có quyền lợi, nghĩa vụ liên quan là anh Chu Tiến T1 và anh Chu Đức T2. 
2. Giữ nguyên Bản án dân sự sơ thẩm số 08/2024/DS-ST ngày 25-10-2024 của Tòa án nhân dân huyện LY, tỉnh Yên Bái."
Bản án:số 22 ngày 12/12/2024 của TAND tỉnh Lào Cai(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903161t1cvn/chi-tiet-ban-an,Quan hệ pháp luật:Tranh chấp hợp đồng vay tài sản,Phúc thẩm,Không,Dân sự,0,"Thông tin về vụ/việc:Không chấp nhận kháng cáo của bị đơn bà Trần Thị L và ông Hoàng Công V, giữ nguyên Bản án dân sự sơ thẩm số 11/2024/DS-ST ngày 29-8-2024 của Tòa án nhân dân thành phố Y, tỉnh Yên Bái,"
Bản án:số 468/2025/HS-PT ngày 29/08/2025 của TAND TP. Hồ Chí Minh(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903128t1cvn/chi-tiet-ban-an,"Nguyễn Hoàng P - phạm tội trộm cắp tài sản 
                     (điều 173 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:Nguyễn Hoàng P  phạm tội trộm cắp tài sản theo quy định tại điểm g khoản 2 Điều 173
Bản án:số 08 ngày 26/03/2025 của TAND tỉnh Phú Yên(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903097t1cvn/chi-tiet-ban-an,"Bản án HSST Trần Thị H và ĐP Đ 321 322 - phạm tội đánh bạc 
                     (điều 321 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Sơ thẩm,Không,Hình sự,0,Thông tin về vụ án:Bản án HSST Trần Thị H và ĐP Đ 321 322
Bản án:số 193 ngày 11/08/2025 của TAND tỉnh Đắk Lắk(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903075t1cvn/chi-tiet-ban-an,"193 - C 11 8 2025 - Nguyễn trần Ngọc K và ĐP -  Đ 249 255 - phạm tội tổ chức sử dụng trái phép chất ma túy 
                     (điều 255 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:193 - C 11 8 2025 - Nguyễn trần Ngọc K và ĐP -  Đ 249 255
Bản án:số 192 ngày 11/08/2025 của TAND tỉnh Đắk Lắk(12.09.2025),https://congbobanan.toaan.gov.vn/2ta1903072t1cvn/chi-tiet-ban-an,"192 - C 11 8 2025 - Bản án HSPT - CT HÙNG - bc Nguyễn Công T -  Đ 249 251 255 - phạm tội tàng trữ trái phép chất ma túy 
                     (điều 249 Luật sửa đổi, bổ sung một số điều của BLHS năm 2015)",Phúc thẩm,Không,Hình sự,0,Thông tin về vụ án:192 - C 11 8 2025 - Bản án HSPT - CT HÙNG - bc Nguyễn Công T -  Đ 249 251 255
